year,parent_entity,parent_type,total_emissions_MtCO2e
2016,Chesapeake Energy,Investor-owned Company,101.49770745798878590000
2017,Chesapeake Energy,Investor-owned Company,90.01484895706083006000
2018,Chesapeake Energy,Investor-owned Company,88.71743512925283710000
2019,Chesapeake Energy,Investor-owned Company,89.79483433626966400000
2020,Chesapeake Energy,Investor-owned Company,86.86580829866636000000
2021,Chesapeake Energy,Investor-owned Company,95.71800940047406700000
2022,Chesapeake Energy,Investor-owned Company,105.54106832090710350000
1912,Chevron,Investor-owned Company,2.27303401218780000000
1913,Chevron,Investor-owned Company,2.17876291736653770000
1914,Chevron,Investor-owned Company,2.59874941790899300000
1915,Chevron,Investor-owned Company,1.77062929225289900000
1916,Chevron,Investor-owned Company,1.56252026754440590000
1917,Chevron,Investor-owned Company,1.32865338092095950000
1918,Chevron,Investor-owned Company,1.36131767723189200000
1919,Chevron,Investor-owned Company,1.33329356052899770000
1920,Chevron,Investor-owned Company,1.59226989620707870000
1921,Chevron,Investor-owned Company,1.70083319085234260000
1922,Chevron,Investor-owned Company,3.21599579169755860000
1923,Chevron,Investor-owned Company,6.94275787827169300000
1924,Chevron,Investor-owned Company,5.94760245250734100000
1925,Chevron,Investor-owned Company,5.73933311908430400000
1926,Chevron,Investor-owned Company,21.04068611107549100000
1927,Chevron,Investor-owned Company,21.77965919861842910000
1928,Chevron,Investor-owned Company,22.06757254931204800000
1929,Chevron,Investor-owned Company,25.91659385571125700000
1930,Chevron,Investor-owned Company,40.77884839096267900000
1931,Chevron,Investor-owned Company,38.18161772371847600000
1932,Chevron,Investor-owned Company,39.47080935333196600000
1933,Chevron,Investor-owned Company,39.88776209379931500000
1934,Chevron,Investor-owned Company,41.80428707613370900000
1935,Chevron,Investor-owned Company,49.41518978661633330000
1936,Chevron,Investor-owned Company,54.23587468465528560000
1937,Chevron,Investor-owned Company,87.03844777790757570000
1938,Chevron,Investor-owned Company,100.85159213679176270000
1939,Chevron,Investor-owned Company,105.47151946200739130000
1940,Chevron,Investor-owned Company,121.27187501217860180000
1941,Chevron,Investor-owned Company,125.40936784312991080000
1942,Chevron,Investor-owned Company,117.37260274856213070000
1943,Chevron,Investor-owned Company,138.05253097169321310000
1944,Chevron,Investor-owned Company,169.18219760888837230000
1945,Chevron,Investor-owned Company,185.17556022011960240000
1946,Chevron,Investor-owned Company,199.04101016976055960000
1947,Chevron,Investor-owned Company,213.88118881285681170000
1948,Chevron,Investor-owned Company,243.64389569845030100000
1949,Chevron,Investor-owned Company,245.84639021899264800000
1950,Chevron,Investor-owned Company,294.75682928876353000000
1951,Chevron,Investor-owned Company,351.31659515307977220000
1952,Chevron,Investor-owned Company,374.87847531409346820000
1953,Chevron,Investor-owned Company,399.63450777586025480000
1954,Chevron,Investor-owned Company,425.25628239735239060000
1955,Chevron,Investor-owned Company,479.88309038023901270000
1956,Chevron,Investor-owned Company,523.67740159768996210000
1957,Chevron,Investor-owned Company,580.34909730161597500000
1958,Chevron,Investor-owned Company,611.60962006704223710000
1959,Chevron,Investor-owned Company,654.42029628823018730000
1960,Chevron,Investor-owned Company,723.25999144445334200000
1961,Chevron,Investor-owned Company,790.88931819188687400000
1962,Chevron,Investor-owned Company,863.38576004348642100000
1963,Chevron,Investor-owned Company,917.27849229971947700000
1964,Chevron,Investor-owned Company,974.19201054522748000000
1965,Chevron,Investor-owned Company,1087.58779311954053100000
1966,Chevron,Investor-owned Company,1206.87437394915387800000
1967,Chevron,Investor-owned Company,1325.11362329058260400000
1968,Chevron,Investor-owned Company,1441.57171680309534200000
1969,Chevron,Investor-owned Company,1563.66196952088994000000
1970,Chevron,Investor-owned Company,1706.77787653338157100000
1971,Chevron,Investor-owned Company,1740.23981208103554200000
1972,Chevron,Investor-owned Company,1863.47481723901324200000
1973,Chevron,Investor-owned Company,1924.05956727353917400000
1974,Chevron,Investor-owned Company,1898.89733354987509200000
1975,Chevron,Investor-owned Company,1474.25184959575737400000
1976,Chevron,Investor-owned Company,1509.30138602880659900000
1977,Chevron,Investor-owned Company,1465.89703483692384900000
1978,Chevron,Investor-owned Company,1366.47581377308332000000
1979,Chevron,Investor-owned Company,1367.10263443223751200000
1980,Chevron,Investor-owned Company,1278.96829695074558300000
1981,Chevron,Investor-owned Company,1220.28108267060523600000
1982,Chevron,Investor-owned Company,926.00123099676072500000
1983,Chevron,Investor-owned Company,796.61921919565003100000
1984,Chevron,Investor-owned Company,681.18438624669469000000
1985,Chevron,Investor-owned Company,578.92706838798381200000
1986,Chevron,Investor-owned Company,568.00060954555428700000
1987,Chevron,Investor-owned Company,557.38574176920925800000
1988,Chevron,Investor-owned Company,524.87875551832539000000
1989,Chevron,Investor-owned Company,482.31251246053505100000
1990,Chevron,Investor-owned Company,485.25407601060871700000
1991,Chevron,Investor-owned Company,484.54292114108354900000
1992,Chevron,Investor-owned Company,480.35305580610475870000
1993,Chevron,Investor-owned Company,480.46655771987864600000
1994,Chevron,Investor-owned Company,530.03470676482785240000
1995,Chevron,Investor-owned Company,506.24231984920669620000
1996,Chevron,Investor-owned Company,528.28300332359733300000
1997,Chevron,Investor-owned Company,543.17652753935096700000
1998,Chevron,Investor-owned Company,574.19429325459632800000
1999,Chevron,Investor-owned Company,547.87678759311064500000
2000,Chevron,Investor-owned Company,524.36176140255909550000
2001,Chevron,Investor-owned Company,534.37021309214427550000
2002,Chevron,Investor-owned Company,509.04582880808483300000
2003,Chevron,Investor-owned Company,487.01219831174791550000
2004,Chevron,Investor-owned Company,476.38116660783997600000
2005,Chevron,Investor-owned Company,420.39849377256051000000
2006,Chevron,Investor-owned Company,455.54945506851826800000
2007,Chevron,Investor-owned Company,449.38269142159575000000
2008,Chevron,Investor-owned Company,437.08244044909618170000
2009,Chevron,Investor-owned Company,458.69748800054011430000
2010,Chevron,Investor-owned Company,464.06593045487058900000
2011,Chevron,Investor-owned Company,442.83925657542833500000
2012,Chevron,Investor-owned Company,432.93747990650926360000
2013,Chevron,Investor-owned Company,431.96120978758739000000
2014,Chevron,Investor-owned Company,431.97049210309154100000
2015,Chevron,Investor-owned Company,448.60541081183084900000
2016,Chevron,Investor-owned Company,454.17683615794908800000
2017,Chevron,Investor-owned Company,469.39813851213974200000
2018,Chevron,Investor-owned Company,496.15393628143180200000
2019,Chevron,Investor-owned Company,516.60929708877852100000
2020,Chevron,Investor-owned Company,465.84514084166037000000
2021,Chevron,Investor-owned Company,469.13272034424159000000
2022,Chevron,Investor-owned Company,454.45373701067283500000
1928,China (Cement),Nation State,0.04766710000000000000
1929,China (Cement),Nation State,0.09166750000000000000
1930,China (Cement),Nation State,0.08800080000000000000
1931,China (Cement),Nation State,0.11733440000000000000
1932,China (Cement),Nation State,0.09533420000000000000
1933,China (Cement),Nation State,0.13566790000000000000
1934,China (Cement),Nation State,0.11733440000000000000
1935,China (Cement),Nation State,0.18700170000000000000
1936,China (Cement),Nation State,0.51333800000000000000
1937,China (Cement),Nation State,0.52433810000000000000
1938,China (Cement),Nation State,0.01100010000000000000
1939,China (Cement),Nation State,0.26766910000000000000
1940,China (Cement),Nation State,0.32633630000000000000
1941,China (Cement),Nation State,0.59400540000000000000
1942,China (Cement),Nation State,0.78467380000000000000
1943,China (Cement),Nation State,0.76634030000000000000
1944,China (Cement),Nation State,0.58667200000000000000
1945,China (Cement),Nation State,0.02200020000000000000
1946,China (Cement),Nation State,0.10266760000000000000
1947,China (Cement),Nation State,0.20900190000000000000
1948,China (Cement),Nation State,0.09900090000000000000
1949,China (Cement),Nation State,0.22366870000000000000
1950,China (Cement),Nation State,0.39967030000000000000
1951,China (Cement),Nation State,0.64533920000000000000
1952,China (Cement),Nation State,1.42634630000000000000
1953,China (Cement),Nation State,1.93601760000000000000
1954,China (Cement),Nation State,2.29535420000000000000
1955,China (Cement),Nation State,2.24402040000000000000
1956,China (Cement),Nation State,3.18636230000000000000
1957,China (Cement),Nation State,3.42103110000000000000
1958,China (Cement),Nation State,4.63837550000000000000
1959,China (Cement),Nation State,6.11972230000000000000
1960,China (Cement),Nation State,6.73206120000000000000
1961,China (Cement),Nation State,3.98936960000000000000
1962,China (Cement),Nation State,3.98936960000000000000
1963,China (Cement),Nation State,4.98671200000000000000
1964,China (Cement),Nation State,5.23604760000000000000
1965,China (Cement),Nation State,5.48538320000000000000
1966,China (Cement),Nation State,5.48538320000000000000
1967,China (Cement),Nation State,3.98570290000000000000
1968,China (Cement),Nation State,4.49170750000000000000
1969,China (Cement),Nation State,4.98304530000000000000
1970,China (Cement),Nation State,4.97571190000000000000
1971,China (Cement),Nation State,11.44377070000000000000
1972,China (Cement),Nation State,11.46943760000000000000
1973,China (Cement),Nation State,12.46678000000000000000
1974,China (Cement),Nation State,12.46678000000000000000
1975,China (Cement),Nation State,14.97480280000000000000
1976,China (Cement),Nation State,24.58522350000000000000
1977,China (Cement),Nation State,27.74958560000000000000
1978,China (Cement),Nation State,32.53462910000000000000
1979,China (Cement),Nation State,36.85033500000000000000
1980,China (Cement),Nation State,39.82402870000000000000
1981,China (Cement),Nation State,41.88838080000000000000
1982,China (Cement),Nation State,46.91175980000000000000
1983,China (Cement),Nation State,53.98115740000000000000
1984,China (Cement),Nation State,60.37954890000000000000
1985,China (Cement),Nation State,71.07164610000000000000
1986,China (Cement),Nation State,80.52439870000000000000
1987,China (Cement),Nation State,89.57381430000000000000
1988,China (Cement),Nation State,104.50095000000000000000
1989,China (Cement),Nation State,103.14427100000000000000
1990,China (Cement),Nation State,104.72095200000000000000
1991,China (Cement),Nation State,125.96947850000000000000
1992,China (Cement),Nation State,153.70073060000000000000
1993,China (Cement),Nation State,183.45233440000000000000
1994,China (Cement),Nation State,210.02857600000000000000
1995,China (Cement),Nation State,237.32349080000000000000
1996,China (Cement),Nation State,244.94289340000000000000
1997,China (Cement),Nation State,255.18398650000000000000
1998,China (Cement),Nation State,267.28776320000000000000
1999,China (Cement),Nation State,285.73859760000000000000
2000,China (Cement),Nation State,297.70670640000000000000
2001,China (Cement),Nation State,329.63999670000000000000
2002,China (Cement),Nation State,361.53662000000000000000
2003,China (Cement),Nation State,429.89490810000000000000
2004,China (Cement),Nation State,483.71106400000000000000
2005,China (Cement),Nation State,533.00617900000000000000
2006,China (Cement),Nation State,616.74260650000000000000
2007,China (Cement),Nation State,678.77583750000000000000
2008,China (Cement),Nation State,700.00000000000000000000
2009,China (Cement),Nation State,822.00000000000000000000
2010,China (Cement),Nation State,941.00000000000000000000
2011,China (Cement),Nation State,1049.50000000000000000000
2012,China (Cement),Nation State,1105.00000000000000000000
2013,China (Cement),Nation State,1205.50000000000000000000
2014,China (Cement),Nation State,1246.00000000000000000000
2015,China (Cement),Nation State,1175.00000000000000000000
2016,China (Cement),Nation State,1205.00000000000000000000
2017,China (Cement),Nation State,1200.00000000000000000000
2018,China (Cement),Nation State,1100.00000000000000000000
2019,China (Cement),Nation State,1150.00000000000000000000
2020,China (Cement),Nation State,1200.00000000000000000000
2021,China (Cement),Nation State,1250.00000000000000000000
2022,China (Cement),Nation State,1050.00000000000000000000
1945,China (Coal),Nation State,16.22809503013604326000
1946,China (Coal),Nation State,39.66867673811874200000
1947,China (Coal),Nation State,63.10925845449634040000
1948,China (Coal),Nation State,86.54984014644667770000
1949,China (Coal),Nation State,109.53964144704173770000
1950,China (Coal),Nation State,132.52944274605834100000
1951,China (Coal),Nation State,155.51924404373570600000
1952,China (Coal),Nation State,178.50904530828951900000
1953,China (Coal),Nation State,297.28154734330487700000
1954,China (Coal),Nation State,416.05404945430190000000
1955,China (Coal),Nation State,534.82655137798767000000
1956,China (Coal),Nation State,653.59905333133952500000
1957,China (Coal),Nation State,354.31340814336549800000
1958,China (Coal),Nation State,891.14405743673284000000
1959,China (Coal),Nation State,1009.91655939008486000000
1960,China (Coal),Nation State,1128.68906161269161000000
1961,China (Coal),Nation State,674.75976515938325000000
1962,China (Coal),Nation State,674.75976515938325000000
1963,China (Coal),Nation State,736.10156190855604400000
1964,China (Coal),Nation State,785.17499922757708000000
1965,China (Coal),Nation State,809.71171802234939300000
1966,China (Coal),Nation State,883.32187416261204600000
1967,China (Coal),Nation State,613.41796816398516400000
1968,China (Coal),Nation State,808.70006908801886300000
1969,China (Coal),Nation State,975.58056180519682400000
1970,China (Coal),Nation State,1259.33482038997566000000
1971,China (Coal),Nation State,1267.90549614019495400000
1972,China (Coal),Nation State,1288.58504273842019000000
1973,China (Coal),Nation State,1276.58658732779474000000
1974,China (Coal),Nation State,1345.18389185207713000000
1975,China (Coal),Nation State,1398.29361956071608500000
1976,China (Coal),Nation State,1438.12898246546568000000
1977,China (Coal),Nation State,1487.54838760564897500000
1978,China (Coal),Nation State,1671.46336283781020000000
1979,China (Coal),Nation State,1713.35244914219695500000
1980,China (Coal),Nation State,1677.29900313598732500000
1981,China (Coal),Nation State,1681.32902155114246000000
1982,China (Coal),Nation State,1802.20252173941383000000
1983,China (Coal),Nation State,1932.59660204495968000000
1984,China (Coal),Nation State,2134.63845615563972400000
1985,China (Coal),Nation State,2359.26464101471388000000
1986,China (Coal),Nation State,2418.11913578830716000000
1987,China (Coal),Nation State,2510.21451954226409000000
1988,China (Coal),Nation State,2650.26441494324373000000
1989,China (Coal),Nation State,2851.17029109172526000000
1990,China (Coal),Nation State,2919.19375357696982000000
1991,China (Coal),Nation State,2932.66321047895500000000
1992,China (Coal),Nation State,3014.53478908353582000000
1993,China (Coal),Nation State,3114.14926685651520000000
1994,China (Coal),Nation State,3325.49532442075698000000
1995,China (Coal),Nation State,3494.99951464243089000000
1996,China (Coal),Nation State,3691.81857353082146000000
1997,China (Coal),Nation State,3584.44428209245933000000
1998,China (Coal),Nation State,3523.76140330470780000000
1999,China (Coal),Nation State,3473.78106283762166000000
2000,China (Coal),Nation State,3743.81336195276145000000
2001,China (Coal),Nation State,3980.04787178811101000000
2002,China (Coal),Nation State,4193.37838273227757000000
2003,China (Coal),Nation State,4962.86316819438698000000
2004,China (Coal),Nation State,5741.04006859665348000000
2005,China (Coal),Nation State,6397.02669535968120000000
2006,China (Coal),Nation State,6950.36969783699178000000
2007,China (Coal),Nation State,7464.69703177790658000000
2008,China (Coal),Nation State,7852.86114816505004000000
2009,China (Coal),Nation State,8426.11998783509225000000
2010,China (Coal),Nation State,9272.94505436550220000000
2011,China (Coal),Nation State,10181.69384535729177000000
2012,China (Coal),Nation State,10670.41517737094640000000
2013,China (Coal),Nation State,10749.37612082272330000000
2014,China (Coal),Nation State,10477.81543488739880000000
2015,China (Coal),Nation State,10133.29255595049220000000
2016,China (Coal),Nation State,9221.23635989208584000000
2017,China (Coal),Nation State,9511.52711080172660000000
2018,China (Coal),Nation State,9967.35098287702950000000
2019,China (Coal),Nation State,10365.85508953618200000000
2020,China (Coal),Nation State,10515.85436909606650000000
2021,China (Coal),Nation State,11120.73759200917554000000
2022,China (Coal),Nation State,12290.37957102129993000000
2009,Cloud Peak,Investor-owned Company,166.68361321484610000000
2010,Cloud Peak,Investor-owned Company,171.62917096957233000000
2011,Cloud Peak,Investor-owned Company,175.10937827845370000000
2012,Cloud Peak,Investor-owned Company,165.95093799192372000000
2013,Cloud Peak,Investor-owned Company,157.52517292831610000000
2014,Cloud Peak,Investor-owned Company,157.34200412258550000000
2015,Cloud Peak,Investor-owned Company,137.55977310368067000000
2016,Cloud Peak,Investor-owned Company,107.70325776959288000000
2017,Cloud Peak,Investor-owned Company,105.87156971228686000000
2018,Cloud Peak,Investor-owned Company,91.03489644810827000000
2019,Cloud Peak,Investor-owned Company,39.74763084354022000000
1987,CNOOC,State-owned Entity,7.58767475825712970000
1988,CNOOC,State-owned Entity,9.17884631258285352000
1989,CNOOC,State-owned Entity,8.94689846019957568600
1990,CNOOC,State-owned Entity,16.48374186907655850000
1991,CNOOC,State-owned Entity,22.73335052039980700000
1992,CNOOC,State-owned Entity,29.16090485706282600000
1993,CNOOC,State-owned Entity,39.09477294356271800000
1994,CNOOC,State-owned Entity,54.42694070448425250000
1995,CNOOC,State-owned Entity,62.23482562890166100000
1996,CNOOC,State-owned Entity,77.18680844928901300000
1997,CNOOC,State-owned Entity,95.31752962042279700000
1998,CNOOC,State-owned Entity,97.46430266681976200000
1999,CNOOC,State-owned Entity,98.48965558080008300000
2000,CNOOC,State-owned Entity,72.64939773164012000000
2001,CNOOC,State-owned Entity,79.66625121558391500000
2002,CNOOC,State-owned Entity,101.60896826226326900000
2003,CNOOC,State-owned Entity,91.80933932288094000000
2004,CNOOC,State-owned Entity,93.22621568024654250000
2005,CNOOC,State-owned Entity,147.33325511275639600000
2006,CNOOC,State-owned Entity,98.65206676776853000000
2007,CNOOC,State-owned Entity,106.49708291797764400000
2008,CNOOC,State-owned Entity,114.91300648024619500000
2009,CNOOC,State-owned Entity,127.42089254153316300000
2010,CNOOC,State-owned Entity,164.36672203994936050000
2011,CNOOC,State-owned Entity,159.92417196995617000000
2012,CNOOC,State-owned Entity,163.44948954116219300000
2013,CNOOC,State-owned Entity,166.73835775213401500000
2014,CNOOC,State-owned Entity,174.48547929786325000000
2015,CNOOC,State-owned Entity,199.88802875533464000000
2016,CNOOC,State-owned Entity,184.19077282342897000000
2017,CNOOC,State-owned Entity,189.61535342988586000000
2018,CNOOC,State-owned Entity,191.85030482380044000000
2019,CNOOC,State-owned Entity,204.63342551670306000000
2020,CNOOC,State-owned Entity,212.62486758525134000000
2021,CNOOC,State-owned Entity,231.47136065841460000000
2022,CNOOC,State-owned Entity,252.13089442570437000000
1988,CNPC,State-owned Entity,72.75504829241421400000
1989,CNPC,State-owned Entity,436.53028975448535000000
1990,CNPC,State-owned Entity,440.93968662069221400000
1991,CNPC,State-owned Entity,446.93368851880788000000
1992,CNPC,State-owned Entity,452.55556737037756400000
1993,CNPC,State-owned Entity,465.88916002678708000000
1994,CNPC,State-owned Entity,474.68236188640976000000
1995,CNPC,State-owned Entity,481.99410983295015400000
1996,CNPC,State-owned Entity,516.59689761173605000000
1997,CNPC,State-owned Entity,521.21610679240831000000
1998,CNPC,State-owned Entity,521.65035680145080000000
1999,CNPC,State-owned Entity,485.99843312080623000000
2000,CNPC,State-owned Entity,427.99831547607594000000
2001,CNPC,State-owned Entity,392.86087783376082000000
2002,CNPC,State-owned Entity,406.40769417352251000000
2003,CNPC,State-owned Entity,429.39390061947308000000
2004,CNPC,State-owned Entity,436.88717910754746000000
2005,CNPC,State-owned Entity,473.09174606625690000000
2006,CNPC,State-owned Entity,520.51496296491555000000
2007,CNPC,State-owned Entity,554.24588637884720000000
2008,CNPC,State-owned Entity,579.78254276171987000000
2009,CNPC,State-owned Entity,595.05182290212074000000
2010,CNPC,State-owned Entity,630.18146348056672000000
2011,CNPC,State-owned Entity,528.03162588410652000000
2012,CNPC,State-owned Entity,551.99187334387147000000
2013,CNPC,State-owned Entity,576.25148474958658000000
2014,CNPC,State-owned Entity,773.47341545159241000000
2015,CNPC,State-owned Entity,791.13037594443091000000
2016,CNPC,State-owned Entity,795.97669059869256000000
2017,CNPC,State-owned Entity,850.78961097770980000000
2018,CNPC,State-owned Entity,617.99304678142026000000
2019,CNPC,State-owned Entity,647.46438716257070000000
2020,CNPC,State-owned Entity,675.26380305676596000000
2021,CNPC,State-owned Entity,676.25042003470850000000
2022,CNPC,State-owned Entity,702.13510508979214000000
2017,CNX Resources,Investor-owned Company,29.40658349378899596000
2018,CNX Resources,Investor-owned Company,36.71325668931499040000
2019,CNX Resources,Investor-owned Company,39.08104155861297126000
2020,CNX Resources,Investor-owned Company,37.06169065880062510000
2021,CNX Resources,Investor-owned Company,42.77722866552875536000
2022,CNX Resources,Investor-owned Company,42.03510229062844593000
1973,Coal India,State-owned Entity,145.12796041799996800000
1974,Coal India,State-owned Entity,153.60153778918449730000
1975,Coal India,State-owned Entity,177.93909131729501070000
1976,Coal India,State-owned Entity,183.16697865078965230000
1977,Coal India,State-owned Entity,176.75760232688907400000
1978,Coal India,State-owned Entity,178.11125199785507000000
1979,Coal India,State-owned Entity,182.68723277860259360000
1980,Coal India,State-owned Entity,191.19330499601082550000
1981,Coal India,State-owned Entity,214.90720328247323200000
1982,Coal India,State-owned Entity,224.33886737324687050000
1983,Coal India,State-owned Entity,235.39531386554828700000
1984,Coal India,State-owned Entity,255.34786916146492300000
1985,Coal India,State-owned Entity,264.46151801008941550000
1986,Coal India,State-owned Entity,285.30783880128595800000
1987,Coal India,State-owned Entity,313.46809301364241000000
1988,Coal India,State-owned Entity,332.01086307036239700000
1989,Coal India,State-owned Entity,353.09297090396422200000
1990,Coal India,State-owned Entity,360.15483039405647600000
1991,Coal India,State-owned Entity,413.97106938250774000000
1992,Coal India,State-owned Entity,434.96960174948159500000
1993,Coal India,State-owned Entity,432.97302001546737300000
1994,Coal India,State-owned Entity,443.04760877948181700000
1995,Coal India,State-owned Entity,462.84958117491028000000
1996,Coal India,State-owned Entity,500.21504214462007400000
1997,Coal India,State-owned Entity,516.50111332670412800000
1998,Coal India,State-owned Entity,520.22364381923982700000
1999,Coal India,State-owned Entity,521.38414278176810700000
2000,Coal India,State-owned Entity,536.51064552274695900000
2001,Coal India,State-owned Entity,559.54054605415946600000
2002,Coal India,State-owned Entity,581.63004241603387900000
2003,Coal India,State-owned Entity,612.98352123611218400000
2004,Coal India,State-owned Entity,647.43833342323012000000
2005,Coal India,State-owned Entity,687.07537320132308800000
2006,Coal India,State-owned Entity,722.13044334622431400000
2007,Coal India,State-owned Entity,759.24639947291542300000
2008,Coal India,State-owned Entity,807.80727592313616400000
2009,Coal India,State-owned Entity,862.89095619550656600000
2010,Coal India,State-owned Entity,863.01100783720973400000
2011,Coal India,State-owned Entity,872.05489591123856500000
2012,Coal India,State-owned Entity,904.81097769089433100000
2013,Coal India,State-owned Entity,925.23775915806695100000
2014,Coal India,State-owned Entity,988.90512967847590600000
2015,Coal India,State-owned Entity,1077.96341580816575800000
2016,Coal India,State-owned Entity,1108.75665382302012300000
2017,Coal India,State-owned Entity,1135.22803370377664200000
2018,Coal India,State-owned Entity,1214.30202758193595300000
2019,Coal India,State-owned Entity,1204.79394022698466700000
2020,Coal India,State-owned Entity,1192.95284969496176000000
2021,Coal India,State-owned Entity,1245.79556671696977000000
2022,Coal India,State-owned Entity,1407.03101696394354400000
1924,ConocoPhillips,Investor-owned Company,0.30087792319222717000
1925,ConocoPhillips,Investor-owned Company,0.53196971443132020000
1926,ConocoPhillips,Investor-owned Company,7.65034463597701640000
1927,ConocoPhillips,Investor-owned Company,16.81831542836990740000
1928,ConocoPhillips,Investor-owned Company,18.76519418744050530000
1929,ConocoPhillips,Investor-owned Company,21.29535336074488600000
1930,ConocoPhillips,Investor-owned Company,22.60839673486428160000
1931,ConocoPhillips,Investor-owned Company,23.02246137822589800000
1932,ConocoPhillips,Investor-owned Company,23.06935255060841580000
1933,ConocoPhillips,Investor-owned Company,23.71758710960081360000
1934,ConocoPhillips,Investor-owned Company,25.50079606678870420000
1935,ConocoPhillips,Investor-owned Company,27.50085507929756870000
1936,ConocoPhillips,Investor-owned Company,29.84681427427354180000
1937,ConocoPhillips,Investor-owned Company,32.17503828978215100000
1938,ConocoPhillips,Investor-owned Company,28.74283743662307470000
1939,ConocoPhillips,Investor-owned Company,29.69007399535497750000
1940,ConocoPhillips,Investor-owned Company,31.91619856700068920000
1941,ConocoPhillips,Investor-owned Company,36.10896955270758700000
1942,ConocoPhillips,Investor-owned Company,36.32870438851142950000
1943,ConocoPhillips,Investor-owned Company,38.97382168530749240000
1944,ConocoPhillips,Investor-owned Company,43.62518319660181800000
1945,ConocoPhillips,Investor-owned Company,47.15800541423820040000
1946,ConocoPhillips,Investor-owned Company,78.65526823072063650000
1947,ConocoPhillips,Investor-owned Company,83.01951577147488770000
1948,ConocoPhillips,Investor-owned Company,89.82640701923568560000
1949,ConocoPhillips,Investor-owned Company,86.48799428257108100000
1950,ConocoPhillips,Investor-owned Company,111.62561866025187244000
1951,ConocoPhillips,Investor-owned Company,130.49267426580279555000
1952,ConocoPhillips,Investor-owned Company,133.98496861173748680000
1953,ConocoPhillips,Investor-owned Company,136.27267261234386640000
1954,ConocoPhillips,Investor-owned Company,142.02090836357694980000
1955,ConocoPhillips,Investor-owned Company,158.47819213059138492400
1956,ConocoPhillips,Investor-owned Company,174.03302242936161920000
1957,ConocoPhillips,Investor-owned Company,184.91748701066396464000
1958,ConocoPhillips,Investor-owned Company,185.62338054732704343000
1959,ConocoPhillips,Investor-owned Company,208.94467881794099915000
1960,ConocoPhillips,Investor-owned Company,223.22350717725673840000
1961,ConocoPhillips,Investor-owned Company,227.00603093780656990000
1962,ConocoPhillips,Investor-owned Company,226.27575409870042240000
1963,ConocoPhillips,Investor-owned Company,236.94970576561897250000
1964,ConocoPhillips,Investor-owned Company,249.83553505290139300000
1965,ConocoPhillips,Investor-owned Company,260.83281356923240000000
1966,ConocoPhillips,Investor-owned Company,270.42244999499048200000
1967,ConocoPhillips,Investor-owned Company,271.32944687401995700000
1968,ConocoPhillips,Investor-owned Company,282.65357012495552800000
1969,ConocoPhillips,Investor-owned Company,293.05588530964216200000
1970,ConocoPhillips,Investor-owned Company,314.59100642849888800000
1971,ConocoPhillips,Investor-owned Company,315.81307810365030900000
1972,ConocoPhillips,Investor-owned Company,324.06934035206381200000
1973,ConocoPhillips,Investor-owned Company,320.60877829566781100000
1974,ConocoPhillips,Investor-owned Company,292.63492290340974100000
1975,ConocoPhillips,Investor-owned Company,283.85212415562973400000
1976,ConocoPhillips,Investor-owned Company,283.21252804789925600000
1977,ConocoPhillips,Investor-owned Company,285.93090831130045400000
1978,ConocoPhillips,Investor-owned Company,299.16717112624477350000
1979,ConocoPhillips,Investor-owned Company,296.18944766732646000000
1980,ConocoPhillips,Investor-owned Company,291.11281194497733700000
1981,ConocoPhillips,Investor-owned Company,273.34019091183182900000
1982,ConocoPhillips,Investor-owned Company,265.32576260204839400000
1983,ConocoPhillips,Investor-owned Company,269.60556458274083100000
1984,ConocoPhillips,Investor-owned Company,251.55750586373379400000
1985,ConocoPhillips,Investor-owned Company,250.22699052810616500000
1986,ConocoPhillips,Investor-owned Company,251.03091883828550700000
1987,ConocoPhillips,Investor-owned Company,248.28701064902869400000
1988,ConocoPhillips,Investor-owned Company,265.09458629625886100000
1989,ConocoPhillips,Investor-owned Company,271.09474095907987500000
1990,ConocoPhillips,Investor-owned Company,272.28836573369493800000
1991,ConocoPhillips,Investor-owned Company,274.94230736162640800000
1992,ConocoPhillips,Investor-owned Company,279.89835932353714900000
1993,ConocoPhillips,Investor-owned Company,279.32783797734354900000
1994,ConocoPhillips,Investor-owned Company,284.55480844746923850000
1995,ConocoPhillips,Investor-owned Company,289.89588912078357300000
1996,ConocoPhillips,Investor-owned Company,307.45957793352807100000
1997,ConocoPhillips,Investor-owned Company,320.88030470379208600000
1998,ConocoPhillips,Investor-owned Company,323.55814000862066100000
1999,ConocoPhillips,Investor-owned Company,342.02000433720663300000
2000,ConocoPhillips,Investor-owned Company,306.67910215901907900000
2001,ConocoPhillips,Investor-owned Company,316.14904849616229300000
2002,ConocoPhillips,Investor-owned Company,313.85485038013007700000
2003,ConocoPhillips,Investor-owned Company,298.86037737927499000000
2004,ConocoPhillips,Investor-owned Company,311.14733925986870300000
2005,ConocoPhillips,Investor-owned Company,340.18766175743410000000
2006,ConocoPhillips,Investor-owned Company,347.19581423129113040000
2007,ConocoPhillips,Investor-owned Company,352.81052615323442190000
2008,ConocoPhillips,Investor-owned Company,340.31782021752263870000
2009,ConocoPhillips,Investor-owned Company,349.55049623006483100000
2010,ConocoPhillips,Investor-owned Company,320.05855062823045770000
2011,ConocoPhillips,Investor-owned Company,255.92257680268347370000
2012,ConocoPhillips,Investor-owned Company,251.29411230802211100000
2013,ConocoPhillips,Investor-owned Company,249.39597868579731476000
2014,ConocoPhillips,Investor-owned Company,255.25043060253562108000
